880760 预制菜 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2021/12/24,999.26,1022.64,996.67,1021.74,1845093,2301221632.00
2021/12/27,1021.91,1033.85,998.01,1030.93,1625795,2328056576.00
2021/12/28,1031.16,1031.21,1021.34,1024.39,1416687,1652628352.00
2021/12/29,1026.92,1041.84,1009.68,1012.20,2185521,2747249664.00
2021/12/30,1012.34,1012.34,999.84,1006.59,2149910,2595496960.00
2021/12/31,1005.55,1016.34,992.20,1013.42,2416974,2551692800.00
2022/01/04,1015.92,1024.87,1009.60,1024.87,4570411,4554848256.00
2022/01/05,1042.41,1054.06,1023.29,1032.15,8936665,10700340224.00
2022/01/06,1014.84,1030.55,1012.87,1022.70,6907449,7659462144.00
2022/01/07,1015.62,1018.51,991.79,991.79,5628813,6307973632.00
2022/01/10,988.00,1009.43,980.97,1007.14,5351033,6897171456.00
2022/01/11,1006.29,1007.66,981.85,984.28,4267528,5444610048.00
2022/01/12,989.78,1068.37,983.27,1064.58,7916567,9089395712.00
2022/01/13,1110.22,1138.94,1105.65,1126.36,8310926,11522215936.00
2022/01/14,1155.10,1177.27,1122.75,1127.77,17082625,18990852096.00
2022/01/17,1126.65,1139.28,1100.48,1131.81,16768676,17303588864.00
2022/01/18,1115.91,1115.97,1077.19,1079.91,12858803,13112933376.00
2022/01/19,1058.78,1086.26,1058.15,1080.07,13083834,12588085248.00
2022/01/20,1073.48,1100.39,1060.90,1061.76,12952313,12911641600.00
2022/01/21,1054.50,1055.34,1029.41,1030.32,15827037,15031553024.00
2022/01/24,1022.85,1027.04,1010.00,1011.66,12868867,11733161984.00
2022/01/25,999.55,1001.23,973.40,974.25,13390293,11393665024.00
2022/01/26,973.18,979.65,953.15,963.46,10352048,8851185664.00
2022/01/27,957.23,959.22,927.12,927.15,9998918,8579541504.00
2022/01/28,929.39,959.00,929.39,948.85,11022854,9613809664.00
2022/02/07,953.82,959.37,934.83,958.01,10889091,9714953216.00
2022/02/08,959.58,977.09,955.14,977.09,11065945,9447060480.00
2022/02/09,978.95,998.40,976.02,998.03,13183240,12167008256.00
2022/02/10,993.68,1005.41,991.14,1004.81,13419056,12858323968.00
